name,address,city,state,zip_code,phone,email,region,service_types,data_source
Have Hope Peer Recovery Center,37 Main St Suite 201,North Adams,MA,01247,(413) 499-0412,Caitlin.McKinnon@briencenter.org,Western,['Peer Support'],BSAS Peer Recovery Centers
The RECOVER Project,68 Federal St,Greenfield,MA,01301,(413) 774-5489,agodfrey@wmtc.org,Western,['Peer Support'],BSAS Peer Recovery Centers
Hope for Holyoke,100 Suffolk St,Holyoke,MA,01040,(413) 561-1020,rrodriguez2@gandaracenter.org,Western,['Peer Support'],BSAS Peer Recovery Centers
Valor Recovery Center,383 Worthington St,Springfield,MA,01103,(413) 507-3635,mlopez3@gandaracenter.org,Western,['Peer Support'],BSAS Peer Recovery Centers
Living in Recovery,75 North St,Pittsfield,MA,01201,(413) 570-8243,jmacdonald@servicenet.org,Western,['Peer Support'],BSAS Peer Recovery Centers
Northampton Recovery Center,25 Armory St,Northampton,MA,01060,(413) 834-4127,jsullivan@wmtcinfo.org,Western,['Peer Support'],BSAS Peer Recovery Centers
South County Recovery Center,67 State Rd,Great Barrington,MA,01230,(413) 645-3564,gary@rural-recovery.org,Western,['Peer Support'],BSAS Peer Recovery Centers
Everyday Miracles,25 Pleasant St,Worcester,MA,01609,(774) 670-4622,everydaymiracles@spectrumhealthsystems.org,Central,['Peer Support'],BSAS Peer Recovery Centers
No One Walks Alone (NOWA),9 Spring St,Whitinsville,MA,01588,(508) 266-0210,clepore@advocates.org,Central,['Peer Support'],BSAS Peer Recovery Centers
Alyssa's Place,297 Central St,Gardner,MA,01440,(978) 632-0934,bwagoner@gaamha.org,Central,['Peer Support'],BSAS Peer Recovery Centers
Leaders of Restoration,437 Main St,Fitchburg,MA,01420,(978) 987-1258,kpowers@rrcifitchburg.com,Central,['Peer Support'],BSAS Peer Recovery Centers
Ripple Effect,40 Spruce St,Leominster,MA,01453,(978) 384-7337,lhebert@gaamha.org,Central,['Peer Support'],BSAS Peer Recovery Centers
Bridge to Hope,219 Everett St,Southbridge,MA,01550,(508) 981-4091,Carmen.ortiz@spectrumhealthsystems.org,Central,['Peer Support'],BSAS Peer Recovery Centers
CORE Peer Recovery & Resource Center,11-17 Parker St,Gloucester,MA,01930,(351) 217-1424,mollyd@corerecovery.org,Northeast,['Peer Support'],BSAS Peer Recovery Centers
New Beginnings Peer Recovery Center,487 Essex St,Lawrence,MA,01840,(978) 655-3674,newbeginnings@spectrumhealthsystems.org,Northeast,['Peer Support'],BSAS Peer Recovery Centers
Recovery Café Lowell,20 Williams St,Lowell,MA,01851,(978) 677-6087,jmellen@riverbendmv.org,Northeast,['Peer Support'],BSAS Peer Recovery Centers
The Bridge Recovery Center,239 Commercial St,Malden,MA,02148,(781) 480-4937,jlanneville@maldenovercomingaddiction.org,Northeast,['Peer Support'],BSAS Peer Recovery Centers
Recovery Exchange Peer Support Center,35 Exchange St,Lynn,MA,01901,(617) 980-9784,Kim.Patterson@spectrumhealthsystems.org,Northeast,['Peer Support'],BSAS Peer Recovery Centers
Ray of Light Recovery Café,222 Washington St,Haverhill,MA,01832,(978) 886-8961,lcarrasquillo@riverbendmv.org,Northeast,['Peer Support'],BSAS Peer Recovery Centers
The Recovery Connection,31 Main St,Marlborough,MA,01752,(508) 485-0298,john.marhefka@spectrumhealthsystems.org,Metro West,['Peer Support'],BSAS Peer Recovery Centers
A New Way Recovery Center,85 Quincy Ave Suite B,Quincy,MA,02169,(617) 302-3287,ANewWayRC@baystatecs.org,Metro West,['Peer Support'],BSAS Peer Recovery Centers
Wey of Life Peer Recovery Center,383 Bridge St,Weymouth,MA,02191,(781) 812-1392,kesson@southshorepeerrecovery.org,Metro West,['Peer Support'],BSAS Peer Recovery Centers
Turning Point Recovery Center,32 Common St,Walpole,MA,02081,(508) 668-3960,cobrien@baystatecs.org,Metro West,['Peer Support'],BSAS Peer Recovery Centers
Anchored in Recovery,19 Concord St Suite 1,Framingham,MA,01702,(508) 424-2520,bnicholson@smoc.org,Metro West,['Peer Support'],BSAS Peer Recovery Centers
Devine Recovery Center,70 Devine Way,South Boston,MA,02127,(857) 496-1384,davedecourcey@gavinfoundation.org,Boston,['Peer Support'],BSAS Peer Recovery Centers
STEPRox Recovery Support Center,153 Blue Hill Ave,Roxbury,MA,02119,(617) 442-7837,lleverett@northsuffolk.org,Boston,['Peer Support'],BSAS Peer Recovery Centers
Room to Grow Recovery Center,39 Boylston St,Boston,MA,02116,(781) 656-5027,shonterwilliams@STFRANCISHOUSE.ORG,Boston,['Peer Support'],BSAS Peer Recovery Centers
Recovery on the Harbor,983 Bennington St,East Boston,MA,02128,(617) 874-8046,ACohen@Northsuffolk.org,Boston,['Peer Support'],BSAS Peer Recovery Centers
Torchlight Peer Recovery Support Center,2 Washington St,Dorchester,MA,02121,(617) 465-1299,lamont@torchlightrecovery.org,Boston,['Peer Support'],BSAS Peer Recovery Centers
JP Peer Recovery Center,120 South St,Jamaica Plain,MA,02130,(617) 865-8487,hdemelo@vpi.org,Boston,['Peer Support'],BSAS Peer Recovery Centers
Stairway to Recovery,90 Main St,Brockton,MA,02301,(774) 257-5660,tbarreira@gandaracenter.org,Southeast,['Peer Support'],BSAS Peer Recovery Centers
PIER Recovery Center of Cape Cod,209 Main St,Hyannis,MA,02601,(508) 827-6150,amartin@gandaracenter.org,Southeast,['Peer Support'],BSAS Peer Recovery Centers
Peer2Peer Recovery Support Center,182 North Main St,Fall River,MA,02720,(508) 567-5086,dbarnes@steppingstoneinc.org,Southeast,['Peer Support'],BSAS Peer Recovery Centers
Plymouth Recovery Support Center,5 Main St Extension,Plymouth,MA,02360,(774) 225-0723,rjencks@gandaracenter.org,Southeast,['Peer Support'],BSAS Peer Recovery Centers
R.I.S.E Recovery Support Center,497 Belleville Rd,New Bedford,MA,02745,(774) 762-4076,DDaniels@paaca.org,Southeast,['Peer Support'],BSAS Peer Recovery Centers
The Red House,12 Beach Rd,Oak Bluffs,MA,02557,(508) 693-7900,rcropper@mvcommunityservices.org,Southeast,['Peer Support'],BSAS Peer Recovery Centers
Falmouth Peer Recovery Center,769 East Falmouth Hwy,East Falmouth,MA,02536,(508) 996-8900,awilsey@gandaracenter.org,Southeast,['Peer Support'],BSAS Peer Recovery Centers
Taunton Peer Recovery Support Center,1 Washington St,Taunton,MA,02780,(508) 206-9010,lreid@comcounseling.org,Southeast,['Peer Support'],BSAS Peer Recovery Centers
