name,address,city,state,zip_code,phone,email,website,service_types,hours,populations_served,languages,eligibility,payment_options,data_source,latitude,longitude
Addiction Services (Uphams Corner),"415 Columbia Road Boston, Ma 02125",Columbia Road  Boston,MA,02125,(617) 287-8000,,,Outpatient Services,,,English,,,BSAS,42.2973,-71.0745
Addiction Treatment Center of New England,"77 Warren Street Building #5 Boston, Ma 02135",Boston,MA,02135,(617) 254-1271,,,Opioid Treatment,,,English,,,BSAS,42.3478,-71.1566
Addiction Treatment Center of New England (OP),"77 Warren Street Building #5 Boston, Ma 02135",Boston,MA,02135,(617) 254-1271,,,Outpatient Services,,,English,,,BSAS,42.3478,-71.1566
Alcott House,"12 Alcott St Boston, Ma 02134",Alcott St  Boston,MA,02134,(617) 254-2923,,,Residential Rehabilitation,,,English,,,BSAS,42.3535,-71.1329
Andrew House Boston,"170 Morton St. 4-South Boston, Ma 02130",South Boston,MA,02130,(617) 318-5600,,,24 Hour Diversionary Acute Treatment Services,,,English,,,BSAS,42.3126,-71.1115
Answer House,"5 G Street P.O. Box 314 Boston, Ma 02127",Boston,MA,02127,(617) 268-7124,,,Residential Rehabilitation,,,English,,,BSAS,42.3347,-71.0375
Arbour - North 2 Dual Diagnosis Unit,"49 Robinwood Avenue Boston, Ma 02130",Robinwood Avenue  Boston,MA,02130,(617) 522-4400,,,24 Hour Diversionary Acute Treatment Services,,,English,,,BSAS,42.3126,-71.1115
Arbour Counseling Center (Allston),"14 Fordham Road Boston, Ma 02134",Fordham Road  Boston,MA,02134,(617) 782-6460,,,Outpatient Services,,,English,,,BSAS,42.3535,-71.1329
Arbour Counseling Jamaica Plain,"157 Green St. Boston, Ma 02130",Boston,MA,02130,(617) 524-1120,,,Outpatient Services,,,English,,,BSAS,42.3126,-71.1115
BHN Family Center,"113 Central Ave Boston, Ma 02136",Central Ave  Boston,MA,02136,(617) 275-8861,,,Residential Rehabilitation,,,English,,,BSAS,42.254,-71.1261
BMC Brighton Comprehensive Addiction Program,"736 Cambridge Street Boston, Ma 02135",Cambridge Street  Boston,MA,02135,(617) 789-2574,,,24 Hour Diversionary Acute Treatment Services,,,English,,,BSAS,42.3478,-71.1566
BPHC Outpatient Counseling Services,"25 James O'Neil St 1St Floor South Boston Collaborative Center Boston, Ma 02127",Center Boston,MA,02127,(617) 534-9500,,,Outpatient Services,,,English,,,BSAS,42.3347,-71.0375
Bay Cove NT,"66 Canal Street 1St And 4Th Floor Boston, Ma 02114",Th Floor Boston,MA,02114,(617) 371-3030,,,Opioid Treatment,,,English,,,BSAS,42.3611,-71.0682
Boston Hamilton House,"25 Mt. Ida Road Boston, Ma 02122",Ida Road  Boston,MA,02122,(617) 288-1584,,,Residential Rehabilitation,,,English,,,BSAS,42.2973,-71.0745
Boston Pre-Release Center,"430 Canterbury St. Boston, Ma 02131",Boston,MA,02131,(617) 822-5000,,,Opioid Treatment,,,English,,,BSAS,42.2836,-71.1295
